Trials with delta >= 0.1, sorted by descending absolute time delta
Win rate in t1.txt: 39.78%
Win rate in t2.txt: 39.78%
Format: seed, won, time1, time2, delta
{'seed': 3716328098143997705, 'won': True, 'time1': 0.44922900199890137, 'time2': 1.103039026260376, 'delta': 0.6538100242614746}
{'seed': 8743349496081564992, 'won': False, 'time1': 1.9285790920257568, 'time2': 2.5761380195617676, 'delta': 0.6475589275360107}
{'seed': 8432079836341015345, 'won': False, 'time1': 3.793076992034912, 'time2': 4.4370410442352295, 'delta': 0.6439640522003174}
{'seed': 4505328219324391512, 'won': True, 'time1': 1.0839731693267822, 'time2': 1.7225539684295654, 'delta': 0.6385807991027832}
{'seed': 8060655923424287799, 'won': True, 'time1': 1.6072399616241455, 'time2': 2.240165948867798, 'delta': 0.6329259872436523}
{'seed': 4854768553442791214, 'won': False, 'time1': 0.3889949321746826, 'time2': 1.0198910236358643, 'delta': 0.6308960914611816}
{'seed': 1846433749729220230, 'won': True, 'time1': 1.3823440074920654, 'time2': 2.008901834487915, 'delta': 0.6265578269958496}
{'seed': 5437205876237989429, 'won': False, 'time1': 1.1112937927246094, 'time2': 1.7373559474945068, 'delta': 0.6260621547698975}
{'seed': 5505844231060149609, 'won': False, 'time1': 0.12932395935058594, 'time2': 0.7519087791442871, 'delta': 0.6225848197937012}
{'seed': 801241758031552619, 'won': False, 'time1': 0.28289294242858887, 'time2': 0.9036333560943604, 'delta': 0.6207404136657715}
{'seed': 7055613864885187684, 'won': False, 'time1': 0.4631197452545166, 'time2': 1.0713672637939453, 'delta': 0.6082475185394287}
{'seed': 6963415529269688624, 'won': False, 'time1': 0.830132007598877, 'time2': 1.4260292053222656, 'delta': 0.5958971977233887}
{'seed': 2066359721072826960, 'won': True, 'time1': 0.5323920249938965, 'time2': 1.1278691291809082, 'delta': 0.5954771041870117}
{'seed': 7268774156176431356, 'won': True, 'time1': 0.33711791038513184, 'time2': 0.9274990558624268, 'delta': 0.5903811454772949}
{'seed': 1949645056649829429, 'won': False, 'time1': 0.5072729587554932, 'time2': 1.094214916229248, 'delta': 0.5869419574737549}
{'seed': 7877785925389168157, 'won': False, 'time1': 0.6142489910125732, 'time2': 1.20045804977417, 'delta': 0.5862090587615967}
{'seed': 2886054472422761459, 'won': True, 'time1': 0.7284212112426758, 'time2': 1.3144221305847168, 'delta': 0.586000919342041}
{'seed': 4576640496282511938, 'won': False, 'time1': 1.988698959350586, 'time2': 2.5693352222442627, 'delta': 0.5806362628936768}
{'seed': 2410452574075418348, 'won': False, 'time1': 1.6965749263763428, 'time2': 2.266725778579712, 'delta': 0.5701508522033691}
{'seed': 7946731068421019044, 'won': False, 'time1': 1.3910987377166748, 'time2': 1.9491629600524902, 'delta': 0.5580642223358154}
{'seed': 3297917753283627533, 'won': False, 'time1': 0.9458029270172119, 'time2': 1.5034449100494385, 'delta': 0.5576419830322266}
{'seed': 4317351781984257649, 'won': True, 'time1': 0.8229310512542725, 'time2': 1.3738148212432861, 'delta': 0.5508837699890137}
{'seed': 3616618672347297808, 'won': True, 'time1': 0.4201788902282715, 'time2': 0.9613020420074463, 'delta': 0.5411231517791748}
{'seed': 6118841336184198892, 'won': False, 'time1': 0.30333590507507324, 'time2': 0.8406708240509033, 'delta': 0.5373349189758301}
{'seed': 4421161201549852320, 'won': True, 'time1': 0.7620429992675781, 'time2': 1.2981610298156738, 'delta': 0.5361180305480957}
{'seed': 1966939231441673767, 'won': False, 'time1': 0.8370580673217773, 'time2': 1.3692100048065186, 'delta': 0.5321519374847412}
{'seed': 8343746822422199520, 'won': True, 'time1': 0.3521542549133301, 'time2': 0.8839759826660156, 'delta': 0.5318217277526855}
{'seed': 773994539852804939, 'won': True, 'time1': 2.6944758892059326, 'time2': 2.1632328033447266, 'delta': 0.531243085861206}
{'seed': 1052880521204465924, 'won': False, 'time1': 0.36577391624450684, 'time2': 0.8930182456970215, 'delta': 0.5272443294525146}
{'seed': 8473885513969753001, 'won': True, 'time1': 1.9233877658843994, 'time2': 2.4494309425354004, 'delta': 0.526043176651001}
{'seed': 2826490184476788122, 'won': False, 'time1': 0.3338460922241211, 'time2': 0.8554847240447998, 'delta': 0.5216386318206787}
{'seed': 8823666774063347625, 'won': True, 'time1': 0.2876017093658447, 'time2': 0.8050596714019775, 'delta': 0.5174579620361328}
{'seed': 1375828465557793013, 'won': True, 'time1': 0.5866351127624512, 'time2': 1.09489107131958, 'delta': 0.5082559585571289}
{'seed': 6792050085077915997, 'won': False, 'time1': 0.6928620338439941, 'time2': 1.200976848602295, 'delta': 0.5081148147583008}
{'seed': 6271208456215348912, 'won': True, 'time1': 0.9424512386322021, 'time2': 1.4474689960479736, 'delta': 0.5050177574157715}
{'seed': 2278510695957710296, 'won': False, 'time1': 0.5521678924560547, 'time2': 1.0554430484771729, 'delta': 0.5032751560211182}
{'seed': 8754244405856415327, 'won': True, 'time1': 0.16646909713745117, 'time2': 0.6587231159210205, 'delta': 0.49225401878356934}
{'seed': 2473713514131541143, 'won': True, 'time1': 5.248655080795288, 'time2': 4.757574081420898, 'delta': 0.49108099937438965}
{'seed': 1572009807879251833, 'won': True, 'time1': 0.2759990692138672, 'time2': 0.7665150165557861, 'delta': 0.49051594734191895}
{'seed': 3191583710648546407, 'won': True, 'time1': 0.35997700691223145, 'time2': 0.8461549282073975, 'delta': 0.486177921295166}
{'seed': 8106243332474377174, 'won': False, 'time1': 2.898400068283081, 'time2': 3.3830432891845703, 'delta': 0.48464322090148926}
{'seed': 1349167853982763481, 'won': True, 'time1': 0.17760086059570312, 'time2': 0.6619770526885986, 'delta': 0.4843761920928955}
{'seed': 3571260691164971100, 'won': False, 'time1': 0.2112429141998291, 'time2': 0.6942987442016602, 'delta': 0.48305583000183105}
{'seed': 7835018272014248803, 'won': True, 'time1': 2.3715388774871826, 'time2': 1.888674020767212, 'delta': 0.4828648567199707}
{'seed': 5754907118673211259, 'won': False, 'time1': 0.8588309288024902, 'time2': 1.3398950099945068, 'delta': 0.4810640811920166}
{'seed': 3867438793004660513, 'won': False, 'time1': 0.21755480766296387, 'time2': 0.694875955581665, 'delta': 0.47732114791870117}
{'seed': 6142754764683393978, 'won': True, 'time1': 0.7828049659729004, 'time2': 1.2588739395141602, 'delta': 0.47606897354125977}
{'seed': 929063612176660501, 'won': False, 'time1': 0.20240211486816406, 'time2': 0.6781110763549805, 'delta': 0.4757089614868164}
{'seed': 7581219419713298019, 'won': True, 'time1': 1.5162158012390137, 'time2': 1.991534948348999, 'delta': 0.47531914710998535}
